endpoint,column_name,data_type,pretty_name,definition,is_required
v2/accounting/od/debt_to_penny,record_calendar_year,YEAR,Calendar Year,The calendar year associated with record_date.,TRUE
v2/accounting/od/debt_to_penny,record_calendar_quarter,QUARTER,Calendar Quarter Number,The calendar quarter associated with record_date.,TRUE
v2/accounting/od/debt_to_penny,record_calendar_month,MONTH,Calendar Month Number,The calendar month associated with record_date.,TRUE
v2/accounting/od/debt_to_penny,record_calendar_day,DAY,Calendar Day Number,The calendar day associated with record_date.,TRUE
v2/accounting/od/avg_interest_rates,record_date,DATE,Record Date,The date that data was published.,TRUE
v2/accounting/od/avg_interest_rates,security_type_desc,STRING,Security Type Description,"Indicates whether a security type is marketable or nonmarketable. Marketable Debt includes Treasury Bills, Notes, Bonds, Floating Rate Notes, and Inflation-Protected Securities where ownership can be transferred from one person or entity to another. They can also be traded on the secondary market. Nonmarketable securities include Savings Bonds, Government Account Series, State and Local Government Series, Domestic Series and Foreign Series securities where legal ownership cannot be transferred.",TRUE
v2/accounting/od/avg_interest_rates,security_desc,STRING,Security Description,The type of debt instrument issued to raise money needed to operate the federal government and pay off maturing obligations. ,TRUE
v2/accounting/od/avg_interest_rates,avg_interest_rate_amt,PERCENTAGE,Average Interest Rate Amount,"Average Interest Rates are a calculated percentage based on the aggregate interest payments divided by the total debt.  In this table the Total Marketable, Total Nonmarketable, and Total Interest-bearing Debt rates do not include the Treasury Inflation-Indexed Securities and the Treasury Floating Rate Notes.",FALSE
v2/accounting/od/avg_interest_rates,src_line_nbr,NUMBER,Source Line Number,Indicates the row of the corresponding table where a data point can be found.  This can assist in structuring the data in a similar format to the published report and in understanding potential hierarchies within the table.,TRUE
v2/accounting/od/avg_interest_rates,record_fiscal_year,YEAR,Fiscal Year,The fiscal year associated with record_date.  The federal government's fiscal year runs from October 1 to September 30.,TRUE
v2/accounting/od/avg_interest_rates,record_fiscal_quarter,QUARTER,Fiscal Quarter Number,"The fiscal quarter associated with record_date.  For the federal government these quarters are: Q1 - October to December, Q2 - January to March, Q3 - April to June, Q4 - July to September.",TRUE
v2/accounting/od/avg_interest_rates,record_calendar_year,YEAR,Calendar Year,The calendar year associated with record_date.,TRUE
v2/accounting/od/avg_interest_rates,record_calendar_quarter,QUARTER,Calendar Quarter Number,The calendar quarter associated with record_date.,TRUE
v2/accounting/od/avg_interest_rates,record_calendar_month,MONTH,Calendar Month Number,The calendar month associated with record_date.,TRUE
v2/accounting/od/avg_interest_rates,record_calendar_day,DAY,Calendar Day Number,The calendar day associated with record_date.,TRUE
v1/accounting/dts/dts_table_1,record_date,DATE,Record Date,The date that data was published.,TRUE
v1/accounting/dts/dts_table_1,account_type,STRING,Type of Account,The type of account with an operating cash balance.,TRUE
v1/accounting/dts/dts_table_1,close_today_bal,CURRENCY,Closing Balance Today,The closing balance at the end of business for the day. All figures are rounded to the nearest million.,TRUE
v1/accounting/dts/dts_table_1,open_today_bal,CURRENCY,Opening Balance Today,The opening balance at the start of business for the day. All figures are rounded to the nearest million.,TRUE
v1/accounting/dts/dts_table_1,open_month_bal,CURRENCY,Opening Balance This Month,The opening balance at the start of business on the first day of the month. All figures are rounded to the nearest million.,TRUE
v1/accounting/dts/dts_table_1,open_fiscal_year_bal,CURRENCY,Opening Balance This Fiscal Year,The opening balance at the start of business on the first day of the fiscal year. The federal government's fiscal year starts October 1 and ends September 30. All figures are rounded to the nearest million.,TRUE
v1/accounting/dts/dts_table_1,table_nbr,STRING,Table Number,The corresponding table number in the Daily Treasury Statement.,TRUE
v1/accounting/dts/dts_table_1,table_name,STRING,Table Name,The name of the corresponding table in the Daily Treasury Statement.,TRUE
v1/accounting/dts/dts_table_1,sub_table_name,STRING,Sub Table Name,Additional detail about the corresponding table in the Daily Treasury Statement.,TRUE
v1/accounting/dts/dts_table_1,src_line_nbr,NUMBER,Source Line Number,Indicates the row of the corresponding table on the Daily Treasury Statement where a data point can be found.  This can assist in structuring the data in a similar format to the Daily Treasury Statement and in understanding potential hierarchies within the table.,TRUE
v1/accounting/dts/dts_table_1,record_fiscal_year,YEAR,Fiscal Year,The fiscal year associated with record_date.  The federal government's fiscal year runs from October 1 to September 30.,TRUE
v1/accounting/dts/dts_table_1,record_fiscal_quarter,QUARTER,Fiscal Quarter Number,"The fiscal quarter associated with record_date.  For the federal government these quarters are: Q1 - October to December, Q2 - January to March, Q3 - April to June, Q4 - July to September.",TRUE
v1/accounting/dts/dts_table_1,record_calendar_year,YEAR,Calendar Year,The calendar year associated with record_date.,TRUE
v1/accounting/dts/dts_table_1,record_calendar_quarter,QUARTER,Calendar Quarter Number,The calendar quarter associated with record_date.,TRUE
v1/accounting/dts/dts_table_1,record_calendar_month,MONTH,Calendar Month Number,The calendar month associated with record_date.,TRUE
v1/accounting/dts/dts_table_1,record_calendar_day,DAY,Calendar Day Number,The calendar day associated with record_date.,TRUE
v1/accounting/dts/dts_table_2,record_date,DATE,Record Date,The date that data was published.,TRUE
v1/accounting/dts/dts_table_2,account_type,STRING,Type of Account,The type of account with operating cash transactions.,TRUE
v1/accounting/dts/dts_table_2,transaction_type,STRING,Transaction Type,Indicates whether the transaction amount represents deposits or withdrawals.,FALSE
v1/accounting/dts/dts_table_2,transaction_catg,STRING,Transaction Category,Tier one of a two-tier hierarchy for capturing operating cash transactions for various types of account.,TRUE
v1/accounting/dts/dts_table_2,transaction_catg_desc,STRING,Transaction Category Description,Tier two of a two-tier hierarchy for capturing operating cash transactions for various types of account.,FALSE
v1/accounting/dts/dts_table_2,transaction_today_amt,CURRENCY,Transactions Today,The total value of operating cash deposits or withdrawals for the day. All figures are rounded to the nearest million.,TRUE
v1/accounting/dts/dts_table_2,transaction_mtd_amt,CURRENCY,Transactions Month to Date,The month to date value of operating cash deposits or withdrawals for the month. All figures are rounded to the nearest million.,TRUE
v1/accounting/dts/dts_table_2,transaction_fytd_amt,CURRENCY,Transactions Fiscal Year to Date,The fiscal year to date value of operating cash deposits or withdrawals for the fiscal year. All figures are rounded to the nearest million.,TRUE
v1/accounting/dts/dts_table_2,table_nbr,STRING,Table Number,The corresponding table number in the Daily Treasury Statement.,TRUE
v1/accounting/dts/dts_table_2,table_name,STRING,Table Name,The name of the corresponding table in the Daily Treasury Statement.,TRUE
v1/accounting/dts/dts_table_2,src_line_nbr,NUMBER,Source Line Number,Indicates the row of the corresponding table on the Daily Treasury Statement where a data point can be found.  This can assist in structuring the data in a similar format to the Daily Treasury Statement and in understanding potential hierarchies within the table.,TRUE
v1/accounting/dts/dts_table_2,record_fiscal_year,YEAR,Fiscal Year,The fiscal year associated with record_date.  The federal government's fiscal year runs from October 1 to September 30.,TRUE
v1/accounting/dts/dts_table_2,record_fiscal_quarter,QUARTER,Fiscal Quarter Number,"The fiscal quarter associated with record_date.  For the federal government these quarters are: Q1 - October to December, Q2 - January to March, Q3 - April to June, Q4 - July to September.",TRUE
v1/accounting/dts/dts_table_2,record_calendar_year,YEAR,Calendar Year,The calendar year associated with record_date.,TRUE
v1/accounting/dts/dts_table_2,record_calendar_quarter,QUARTER,Calendar Quarter Number,The calendar quarter associated with record_date.,TRUE
v1/accounting/dts/dts_table_2,record_calendar_month,MONTH,Calendar Month Number,The calendar month associated with record_date.,TRUE
v1/accounting/dts/dts_table_2,record_calendar_day,DAY,Calendar Day Number,The calendar day associated with record_date.,TRUE
v1/accounting/dts/dts_table_3a,record_date,DATE,Record Date,The date that data was published.,TRUE
v1/accounting/dts/dts_table_3a,transaction_type,STRING,Transaction Type,Indicates whether the transaction amount represents public debt issues or redemptions,TRUE
v1/accounting/dts/dts_table_3a,security_market,STRING,Security Marketability,"Indicates whether a security type is marketable or nonmarketable. Marketable Debt includes Treasury Bills, Notes, Bonds, Floating Rate Notes, and Inflation-Protected Securities where ownership can be transferred from one person or entity to another. They can also be traded on the secondary market. Nonmarketable securities include Savings Bonds, Government Account Series, State and Local Government Series, Domestic Series and Foreign Series securities where legal ownership cannot be transferred.",FALSE
v1/accounting/dts/dts_table_3a,security_type,STRING,Security Type,The type of debt instrument issued to raise money needed to operate the federal government and pay off maturing obligations. Tier one of a two-tier hierarchy for capturing public debt transactions for various security types,FALSE
v1/accounting/dts/dts_table_3a,security_type_desc,STRING,Security Type Description,Tier two of a two-tier hierarchy for capturing public debt transactions for various security types.,TRUE
v1/accounting/dts/dts_table_3a,transaction_today_amt,CURRENCY,Transactions Today,The total value of public debt issues or redemptions for the day. All figures are rounded to the nearest million.,TRUE
v1/accounting/dts/dts_table_3a,transaction_mtd_amt,CURRENCY,Transactions Month to Date,The month to date value of public debt issues or redemptions for the month. All figures are rounded to the nearest million.,TRUE
v1/accounting/dts/dts_table_3a,transaction_fytd_amt,CURRENCY,Transactions Fiscal Year to Date,The fiscal year to date value of public debt issues or redemptions for the fiscal year. All figures are rounded to the nearest million.,TRUE
v1/accounting/dts/dts_table_3a,table_nbr,STRING,Table Number,The corresponding table number in the Daily Treasury Statement.,TRUE
v1/accounting/dts/dts_table_3a,table_name,STRING,Table Name,The name of the corresponding table in the Daily Treasury Statement.,TRUE
v1/accounting/dts/dts_table_3a,src_line_nbr,NUMBER,Source Line Number,Indicates the row of the corresponding table on the Daily Treasury Statement where a data point can be found.  This can assist in structuring the data in a similar format to the Daily Treasury Statement and in understanding potential hierarchies within the table.,TRUE
v1/accounting/dts/dts_table_3a,record_fiscal_year,YEAR,Fiscal Year,The fiscal year associated with record_date.  The federal government's fiscal year runs from October 1 to September 30.,TRUE
v1/accounting/dts/dts_table_3a,record_fiscal_quarter,QUARTER,Fiscal Quarter Number,"The fiscal quarter associated with record_date.  For the federal government these quarters are: Q1 - October to December, Q2 - January to March, Q3 - April to June, Q4 - July to September.",TRUE
v1/accounting/dts/dts_table_3a,record_calendar_year,YEAR,Calendar Year,The calendar year associated with record_date.,TRUE
v1/accounting/dts/dts_table_3a,record_calendar_quarter,QUARTER,Calendar Quarter Number,The calendar quarter associated with record_date.,TRUE
v1/accounting/dts/dts_table_3a,record_calendar_month,MONTH,Calendar Month Number,The calendar month associated with record_date.,TRUE
v1/accounting/dts/dts_table_3a,record_calendar_day,DAY,Calendar Day Number,The calendar day associated with record_date.,TRUE
v1/accounting/dts/dts_table_3b,record_date,DATE,Record Date,The date that data was published.,TRUE
v1/accounting/dts/dts_table_3b,transaction_type,STRING,Transaction Type,Indicates whether the transaction amount represents cash basis adjustments to public debt issues or redemptions.,TRUE
v1/accounting/dts/dts_table_3b,adj_type,STRING,Adjustment Type,Tier one of a two-tier hierarchy for capturing cash basis adjustments of public debt transactions for various security types.,FALSE
v1/accounting/dts/dts_table_3b,adj_type_desc,STRING,Adjustment Type Description,Tier two of a two-tier hierarchy for capturing cash basis adjustments of public debt transactions for various security types.,TRUE
v1/accounting/dts/dts_table_3b,adj_today_amt,CURRENCY,Adjustments Today,The total value of cash basis adjustments to public debt issues or redemptions for the day. All figures are rounded to the nearest million.,TRUE
v1/accounting/dts/dts_table_3b,adj_mtd_amt,CURRENCY,Adjustments Month to Date,The month to date value of cash basis adjustments to public debt issues or redemptions for the month. All figures are rounded to the nearest million.,TRUE
v1/accounting/dts/dts_table_3b,adj_fytd_amt,CURRENCY,Adjustments Fiscal Year to Date,The fiscal year to date value of cash basis adjustments to public debt issues or redemptions for the fiscal year. All figures are rounded to the nearest million.,TRUE
v1/accounting/dts/dts_table_3b,table_nbr,STRING,Table Number,The corresponding table number in the Daily Treasury Statement.,TRUE
v1/accounting/dts/dts_table_3b,table_name,STRING,Table Name,The name of the corresponding table in the Daily Treasury Statement.,TRUE
v1/accounting/dts/dts_table_3b,sub_table_name,STRING,Sub Table Name,Additional detail about the corresponding table in the Daily Treasury Statement.,TRUE
v1/accounting/dts/dts_table_3b,src_line_nbr,NUMBER,Source Line Number,Indicates the row of the corresponding table on the Daily Treasury Statement where a data point can be found.  This can assist in structuring the data in a similar format to the Daily Treasury Statement and in understanding potential hierarchies within the table.,TRUE
v1/accounting/dts/dts_table_3b,record_fiscal_year,YEAR,Fiscal Year,The fiscal year associated with record_date.  The federal government's fiscal year runs from October 1 to September 30.,TRUE
v1/accounting/dts/dts_table_3b,record_fiscal_quarter,QUARTER,Fiscal Quarter Number,"The fiscal quarter associated with record_date.  For the federal government these quarters are: Q1 - October to December, Q2 - January to March, Q3 - April to June, Q4 - July to September.",TRUE
v1/accounting/dts/dts_table_3b,record_calendar_year,YEAR,Calendar Year,The calendar year associated with record_date.,TRUE
v1/accounting/dts/dts_table_3b,record_calendar_quarter,QUARTER,Calendar Quarter Number,The calendar quarter associated with record_date.,TRUE
v1/accounting/dts/dts_table_3b,record_calendar_month,MONTH,Calendar Month Number,The calendar month associated with record_date.,TRUE
v1/accounting/dts/dts_table_3b,record_calendar_day,DAY,Calendar Day Number,The calendar day associated with record_date.,TRUE
v1/accounting/dts/dts_table_3c,record_date,DATE,Record Date,The date that data was published.,TRUE
v1/accounting/dts/dts_table_3c,debt_catg,STRING,Debt Category,Tier one of a two-tier hierarchy for capturing cash basis adjustments of various debt types,FALSE
v1/accounting/dts/dts_table_3c,debt_catg_desc,STRING,Debt Category Description,Tier two of a two-tier hierarchy for capturing cash basis adjustments of various debt types,TRUE
v1/accounting/dts/dts_table_3c,close_today_bal,CURRENCY,Closing Balance Today,The closing balance at the end of business for the day. All figures are rounded to the nearest million.,FALSE
v1/accounting/dts/dts_table_3c,open_today_bal,CURRENCY,Opening Balance Today,The opening balance at the start of business for the day. All figures are rounded to the nearest million.,FALSE
v1/accounting/dts/dts_table_3c,open_month_bal,CURRENCY,Opening Balance This Month,The opening balance at the start of business on the first day of the month. All figures are rounded to the nearest million.,FALSE
v1/accounting/dts/dts_table_3c,open_fiscal_year_bal,CURRENCY,Opening Balance This Fiscal Year,The opening balance at the start of business on the first day of the fiscal year. The federal government's fiscal year starts October 1 and ends September 30. All figures are rounded to the nearest million.,FALSE
v1/accounting/dts/dts_table_3c,table_nbr,STRING,Table Number,The corresponding table number in the Daily Treasury Statement.,TRUE
v1/accounting/dts/dts_table_3c,table_name,STRING,Table Name,The name of the corresponding table in the Daily Treasury Statement.,TRUE
v1/accounting/dts/dts_table_3c,sub_table_name,STRING,Sub Table Name,Additional detail about the corresponding table in the Daily Treasury Statement.,TRUE
v1/accounting/dts/dts_table_3c,src_line_nbr,NUMBER,Source Line Number,Indicates the row of the corresponding table on the Daily Treasury Statement where a data point can be found.  This can assist in structuring the data in a similar format to the Daily Treasury Statement and in understanding potential hierarchies within the table.,TRUE
v1/accounting/dts/dts_table_3c,record_fiscal_year,YEAR,Fiscal Year,The fiscal year associated with record_date.  The federal government's fiscal year runs from October 1 to September 30.,TRUE
v1/accounting/dts/dts_table_3c,record_fiscal_quarter,QUARTER,Fiscal Quarter Number,"The fiscal quarter associated with record_date.  For the federal government these quarters are: Q1 - October to December, Q2 - January to March, Q3 - April to June, Q4 - July to September.",TRUE
v1/accounting/dts/dts_table_3c,record_calendar_year,YEAR,Calendar Year,The calendar year associated with record_date.,TRUE
v1/accounting/dts/dts_table_3c,record_calendar_quarter,QUARTER,Calendar Quarter Number,The calendar quarter associated with record_date.,TRUE
v1/accounting/dts/dts_table_3c,record_calendar_month,MONTH,Calendar Month Number,The calendar month associated with record_date.,TRUE
v1/accounting/dts/dts_table_3c,record_calendar_day,DAY,Calendar Day Number,The calendar day associated with record_date.,TRUE
v1/accounting/dts/dts_table_4,record_date,DATE,Record Date,The date that data was published.,TRUE
v1/accounting/dts/dts_table_4,tax_deposit_type,STRING,Federal Tax Deposit Type,Tier one of a two-tier hierarchy for capturing federal tax deposits from various sources.,FALSE
v1/accounting/dts/dts_table_4,tax_deposit_type_desc,STRING,Federal Tax Deposit Type Description,Tier two of a two-tier hierarchy for capturing federal tax deposits from various sources.,TRUE
v1/accounting/dts/dts_table_4,tax_deposit_today_amt,CURRENCY,Federal Tax Deposits Today,The total value of federal tax deposits for the day. All figures are rounded to the nearest million.,TRUE
v1/accounting/dts/dts_table_4,tax_deposit_mtd_amt,CURRENCY,Federal Tax Deposits Month to Date,The month to date value of federal tax deposits for the month. All figures are rounded to the nearest million.,TRUE
v1/accounting/dts/dts_table_4,tax_deposit_fytd_amt,CURRENCY,Federal Tax Deposits Fiscal Year to Date,The fiscal year to date value of federal tax deposits for the fiscal year. All figures are rounded to the nearest million.,TRUE
v1/accounting/dts/dts_table_4,table_nbr,STRING,Table Number,The corresponding table number in the Daily Treasury Statement.,TRUE
v1/accounting/dts/dts_table_4,table_name,STRING,Table Name,The name of the corresponding table in the Daily Treasury Statement.,TRUE
v1/accounting/dts/dts_table_4,sub_table_name,STRING,Sub Table Name,Additional detail about the corresponding table in the Daily Treasury Statement.,TRUE
v1/accounting/dts/dts_table_4,src_line_nbr,NUMBER,Source Line Number,Indicates the row of the corresponding table on the Daily Treasury Statement where a data point can be found.  This can assist in structuring the data in a similar format to the Daily Treasury Statement and in understanding potential hierarchies within the table.,TRUE
v1/accounting/dts/dts_table_4,record_fiscal_year,YEAR,Fiscal Year,The fiscal year associated with record_date.  The federal government's fiscal year runs from October 1 to September 30.,TRUE
v1/accounting/dts/dts_table_4,record_fiscal_quarter,QUARTER,Fiscal Quarter Number,"The fiscal quarter associated with record_date.  For the federal government these quarters are: Q1 - October to December, Q2 - January to March, Q3 - April to June, Q4 - July to September.",TRUE
v1/accounting/dts/dts_table_4,record_calendar_year,YEAR,Calendar Year,The calendar year associated with record_date.,TRUE
v1/accounting/dts/dts_table_4,record_calendar_quarter,QUARTER,Calendar Quarter Number,The calendar quarter associated with record_date.,TRUE
v1/accounting/dts/dts_table_4,record_calendar_month,MONTH,Calendar Month Number,The calendar month associated with record_date.,TRUE
v1/accounting/dts/dts_table_4,record_calendar_day,DAY,Calendar Day Number,The calendar day associated with record_date.,TRUE
v1/accounting/dts/dts_table_5,record_date,DATE,Record Date,The date that data was published.,TRUE
v1/accounting/dts/dts_table_5,transaction_type,STRING,Transaction Type,Tier one of a two-tier hierarchy for categorizing short-term cash investments. Indicates whether the transaction amount represents deposits or withdrawals.,FALSE
v1/accounting/dts/dts_table_5,transaction_type_desc,STRING,Transaction Type Description,Tier two of a two-tier hierarchy for categorizing short-term cash investments.,TRUE
v1/accounting/dts/dts_table_5,depositary_type_a_amt,CURRENCY,Type A Depositary Amount,The amount of deposits or withdrawals for depositary type A. All figures are rounded to the nearest million.,TRUE
v1/accounting/dts/dts_table_5,depositary_type_b_amt,CURRENCY,Type B Depositary Amount,The amount of deposits or withdrawals for depositary type B. All figures are rounded to the nearest million.,TRUE
v1/accounting/dts/dts_table_5,depositary_type_c_amt,CURRENCY,Type C Depositary Amount,The amount of deposits or withdrawals for depositary type C. All figures are rounded to the nearest million.,TRUE
v1/accounting/dts/dts_table_5,total_amt,CURRENCY,Total Amount,Total amount of transactions across all depositary types for the day. All figures are rounded to the nearest million.,TRUE
v1/accounting/dts/dts_table_5,table_nbr,STRING,Table Number,The corresponding table number in the Daily Treasury Statement.,TRUE
v1/accounting/dts/dts_table_5,table_name,STRING,Table Name,The name of the corresponding table in the Daily Treasury Statement.,TRUE
v1/accounting/dts/dts_table_5,sub_table_name,STRING,Sub Table Name,Additional detail about the corresponding table in the Daily Treasury Statement.,TRUE
v1/accounting/dts/dts_table_5,src_line_nbr,NUMBER,Source Line Number,Indicates the row of the corresponding table on the Daily Treasury Statement where a data point can be found.  This can assist in structuring the data in a similar format to the Daily Treasury Statement and in understanding potential hierarchies within the table.,TRUE
v1/accounting/dts/dts_table_5,record_fiscal_year,YEAR,Fiscal Year,The fiscal year associated with record_date.  The federal government's fiscal year runs from October 1 to September 30.,TRUE
v1/accounting/dts/dts_table_5,record_fiscal_quarter,QUARTER,Fiscal Quarter Number,"The fiscal quarter associated with record_date.  For the federal government these quarters are: Q1 - October to December, Q2 - January to March, Q3 - April to June, Q4 - July to September.",TRUE
v1/accounting/dts/dts_table_5,record_calendar_year,YEAR,Calendar Year,The calendar year associated with record_date.,TRUE
v1/accounting/dts/dts_table_5,record_calendar_quarter,QUARTER,Calendar Quarter Number,The calendar quarter associated with record_date.,TRUE
v1/accounting/dts/dts_table_5,record_calendar_month,MONTH,Calendar Month Number,The calendar month associated with record_date.,TRUE
v1/accounting/dts/dts_table_5,record_calendar_day,DAY,Calendar Day Number,The calendar day associated with record_date.,TRUE
v1/accounting/dts/dts_table_6,record_date,DATE,Record Date,The date that data was published.,TRUE
v1/accounting/dts/dts_table_6,tax_refund_type,STRING,Federal Tax Refund Type,Tier one of a two-tier hierarchy for categorizing federal tax refunds. Indicates whether the refunds were to individuals or businesses.,TRUE
v1/accounting/dts/dts_table_6,tax_refund_type_desc,STRING,Federal Tax Refund Type Description,Tier two of a two-tier hierarchy for categorizing federal tax refunds. Indicates whether the refunds were transmitted by check or electronic funds transfer (EFT).,FALSE
v1/accounting/dts/dts_table_6,tax_refund_today_amt,CURRENCY,Federal Tax Refunds Today,The total value of federal tax refunds for the day. All figures are rounded to the nearest million.,TRUE
v1/accounting/dts/dts_table_6,tax_refund_mtd_amt,CURRENCY,Federal Tax Refunds Month to Date,The month to date value of federal tax refunds for the month. All figures are rounded to the nearest million.,TRUE
v1/accounting/dts/dts_table_6,tax_refund_fytd_amt,CURRENCY,Federal Tax Refunds Fiscal Year to Date,The fiscal year to date value of federal tax refunds for the fiscal year. All figures are rounded to the nearest million.,TRUE
v1/accounting/dts/dts_table_6,table_nbr,STRING,Table Number,The corresponding table number in the Daily Treasury Statement.,TRUE
v1/accounting/dts/dts_table_6,table_name,STRING,Table Name,The name of the corresponding table in the Daily Treasury Statement.,TRUE
v1/accounting/dts/dts_table_6,sub_table_name,STRING,Sub Table Name,Additional detail about the corresponding table in the Daily Treasury Statement.,TRUE
v1/accounting/dts/dts_table_6,src_line_nbr,NUMBER,Source Line Number,Indicates the row of the corresponding table on the Daily Treasury Statement where a data point can be found.  This can assist in structuring the data in a similar format to the Daily Treasury Statement and in understanding potential hierarchies within the table.,TRUE
v1/accounting/dts/dts_table_6,record_fiscal_year,YEAR,Fiscal Year,The fiscal year associated with record_date.  The federal government's fiscal year runs from October 1 to September 30.,TRUE
